mu0,alpha,beta,k0,R0,eta,r,espeed,esigma,rho_init,amp_dt,skew,mod_lim,dx,pixel,in_summ
10.0,1.5,2.5,2.0,0.5,0.08,1.0,0.1,8.0,1.0,0.40,0.0,64.0,1.0,256,0
10.0,1.5,2.5,2.0,0.5,0.08,1.0,0.1,8.0,1.0,0.40,0.0,63.0,1.0,252,0
10.0,1.5,2.5,2.0,0.5,0.08,1.0,0.1,8.0,1.0,0.40,0.0,65.0,1.0,260,0
10.0,1.5,2.5,2.0,0.5,0.08,1.0,0.1,8.0,1.0,0.40,0.0,64.0,2.0,128,0
10.0,1.5,2.5,2.0,0.5,0.08,1.0,0.1,8.0,1.0,0.40,0.0,63.0,3.0,84,0
10.0,1.5,2.5,2.0,0.5,0.08,1.0,0.1,8.0,1.0,0.40,0.0,64.0,4.0,64,1
10.0,1.5,2.5,2.0,0.5,0.08,1.0,0.1,8.0,1.0,0.40,0.0,65.0,5.0,52,0
10.0,1.5,2.5,2.0,0.5,0.08,1.0,0.1,8.0,1.0,0.40,0.0,63.0,6.0,42,0
10.0,1.5,2.5,2.0,0.5,0.08,1.0,0.1,8.0,1.0,0.40,0.0,63.0,7.0,36,0
10.0,1.5,2.5,2.0,0.5,0.08,1.0,0.1,8.0,1.0,0.40,0.0,64.0,8.0,32,1
10.0,1.5,2.5,2.0,0.5,0.08,1.0,0.1,8.0,1.0,0.40,0.0,64.0,0.5,512,0
10.0,1.5,2.5,2.0,0.5,0.08,1.0,0.1,16.0,1.0,0.40,0.0,64.0,1.0,256,0
10.0,1.5,2.5,2.0,0.5,0.08,1.0,0.1,16.0,1.0,0.40,0.0,63.0,1.0,252,0
10.0,1.5,2.5,2.0,0.5,0.08,1.0,0.1,16.0,1.0,0.40,0.0,65.0,1.0,260,0
10.0,1.5,2.5,2.0,0.5,0.08,1.0,0.1,16.0,1.0,0.40,0.0,64.0,2.0,128,0
10.0,1.5,2.5,2.0,0.5,0.08,1.0,0.1,16.0,1.0,0.40,0.0,63.0,3.0,84,0
10.0,1.5,2.5,2.0,0.5,0.08,1.0,0.1,16.0,1.0,0.40,0.0,64.0,4.0,64,0
10.0,1.5,2.5,2.0,0.5,0.08,1.0,0.1,16.0,1.0,0.40,0.0,65.0,5.0,52,0
10.0,1.5,2.5,2.0,0.5,0.08,1.0,0.1,16.0,1.0,0.40,0.0,63.0,6.0,42,0
10.0,1.5,2.5,2.0,0.5,0.08,1.0,0.1,16.0,1.0,0.40,0.0,63.0,7.0,36,0
10.0,1.5,2.5,2.0,0.5,0.08,1.0,0.1,16.0,1.0,0.40,0.0,64.0,8.0,32,0
10.0,1.5,2.5,2.0,0.5,0.08,1.0,0.1,16.0,1.0,0.40,0.0,64.0,0.5,512,0
10.0,1.5,2.5,2.0,0.5,0.08,1.0,0.1,4.0,1.0,0.40,0.0,64.0,1.0,256,0
10.0,1.5,2.5,2.0,0.5,0.08,1.0,0.1,4.0,1.0,0.40,0.0,63.0,1.0,252,0
10.0,1.5,2.5,2.0,0.5,0.08,1.0,0.1,4.0,1.0,0.40,0.0,65.0,1.0,260,0
10.0,1.5,2.5,2.0,0.5,0.08,1.0,0.1,4.0,1.0,0.40,0.0,64.0,2.0,128,0
10.0,1.5,2.5,2.0,0.5,0.08,1.0,0.1,4.0,1.0,0.40,0.0,63.0,3.0,84,0
10.0,1.5,2.5,2.0,0.5,0.08,1.0,0.1,4.0,1.0,0.40,0.0,64.0,4.0,64,0
10.0,1.5,2.5,2.0,0.5,0.08,1.0,0.1,4.0,1.0,0.40,0.0,65.0,5.0,52,0
10.0,1.5,2.5,2.0,0.5,0.08,1.0,0.1,4.0,1.0,0.40,0.0,63.0,6.0,42,0
10.0,1.5,2.5,2.0,0.5,0.08,1.0,0.1,4.0,1.0,0.40,0.0,63.0,7.0,36,0
10.0,1.5,2.5,2.0,0.5,0.08,1.0,0.1,4.0,1.0,0.40,0.0,64.0,8.0,32,0
10.0,1.5,2.5,2.0,0.5,0.08,1.0,0.1,4.0,1.0,0.40,0.0,64.0,0.5,512,0
